Gene	log2FoldChange	time	padj
Avp	0.916660467	1HR	7.30188e-12
Npy6r	0.801172239	1HR	8.69933e-08
Col23a1	0.770533248	1HR	1.60745e-07
Pdyn	0.728876343	1HR	1.64155e-07
Pllp	0.670802744	1HR	1.77355e-08
Fa2h	0.627994525	1HR	1.10155e-06
Deptor	0.615398992	1HR	0.000139787
Hapln2	0.591352646	1HR	0.000326629
Ebf3	0.591031946	1HR	0.000551426
Plp1	0.587058226	1HR	1.44718e-05
Tmem88b	0.586785262	1HR	8.70045e-05
Enpp6	0.58504938	1HR	0.00025793
Ermn	0.583167153	1HR	3.53892e-05
Aldh1a1	0.575836651	1HR	0.000127455
Map6d1	0.571957768	1HR	0.000223518
Anln	0.569795663	1HR	0.000203074
Galnt6	0.569017573	1HR	0.00075502
Mag	0.567917673	1HR	4.26912e-05
Padi2	0.559688796	1HR	9.82923e-06
Mobp	0.554130323	1HR	2.60083e-05
Mog	0.552503416	1HR	0.000356954
Adamts9	0.550196015	1HR	0.001177093
Myrf	0.549366825	1HR	0.000242789
Sytl2	0.548706369	1HR	0.000119547
Cldn11	0.547404421	1HR	0.000233735
Gfap	0.54731556	1HR	1.50248e-05
Plekhh1	0.547100723	1HR	1.09439e-05
Ppp1r14a	0.536997276	1HR	0.002878425
Rhog	0.53417857	1HR	0.00075502
Klk6	0.53221369	1HR	0.003346264
Dusp7	0.53067597	1HR	0.000251137
Tbx3	0.52885142	1HR	0.002278397
Gltp	0.527351725	1HR	0.001158913
Trim59	0.52646198	1HR	0.000161353
Pde8a	0.525189624	1HR	0.000767905
Chrm1	0.524947003	1HR	0.002486492
Cdc42ep2	0.523745556	1HR	0.003125859
Sox10	0.520594504	1HR	0.000548344
Sec14l5	0.520470484	1HR	0.004426837
Rasgrp3	0.519274401	1HR	0.002510959
Enpp1	0.518614998	1HR	0.004537229
Foxp2	0.516061026	1HR	0.005213349
Cyp27a1	0.515753164	1HR	0.004267345
Hs3st1	0.515672073	1HR	0.000412797
Mbp	0.511355716	1HR	0.000237775
Cartpt	0.504619108	1HR	0.000120725
Cryab	0.503239016	1HR	0.002486492
