Gene	log2FoldChange	time	padj
Cacna1e	-0.302650554	6HR	0.003126424
Nrip3	-0.303770373	6HR	0.012917566
Ep400	-0.305467087	6HR	0.020725262
Chga	-0.310169035	6HR	0.01852298
Epg5	-0.311780015	6HR	0.046006836
Rab3gap1	-0.312402717	6HR	0.046586994
Prkaa2	-0.312530251	6HR	0.024788732
Slc1a4	-0.313743473	6HR	0.044708528
Pcdhga7	-0.318666618	6HR	0.041317233
Zcchc14	-0.321161531	6HR	0.036983963
Ascc3	-0.321393716	6HR	0.048150058
Pcdhgc3	-0.321762385	6HR	0.028177085
Pam	-0.327714523	6HR	0.017336749
Smcr8	-0.328982279	6HR	0.027211672
Ermp1	-0.330880344	6HR	0.008495687
Plxnc1	-0.333493901	6HR	0.047508011
Plcd4	-0.33364992	6HR	0.00256965
Maged1	-0.334584343	6HR	0.008018187
Fgf2	-0.334716974	6HR	0.017901838
Arhgap36	-0.33477985	6HR	0.016345804
Slc20a2	-0.336374273	6HR	0.006635187
Wnk3	-0.337525886	6HR	0.004866609
Lgi4	-0.33779214	6HR	0.038521985
Gpam	-0.338770915	6HR	0.014111476
Atg2b	-0.338840765	6HR	0.021472621
H3f3b	-0.339461706	6HR	0.009803276
Nup214	-0.340092901	6HR	0.008299831
Fzd3	-0.340955733	6HR	0.020326326
Ubr3	-0.345820655	6HR	0.014463159
Arfgef3	-0.345989087	6HR	0.012479177
Gab2	-0.347700123	6HR	0.022986857
Hs6st1	-0.347902032	6HR	0.029017405
Ctnnd2	-0.34915255	6HR	0.010173641
Col25a1	-0.352358703	6HR	0.045318571
Scn1b	-0.352487335	6HR	0.031305435
Dpy19l3	-0.352629914	6HR	0.003238752
Rps6ka1	-0.352982928	6HR	0.033009747
Ppm1h	-0.353165624	6HR	0.011777899
Cwf19l2	-0.353937831	6HR	0.010644231
Slc14a1	-0.354235223	6HR	0.034220368
Sept9	-0.354440349	6HR	0.017739225
Iqsec3	-0.355291579	6HR	7.76742e-05
Prrc2b	-0.356544557	6HR	0.041074885
Urb1	-0.358090396	6HR	0.044708528
Wdr1	-0.358220373	6HR	0.018048712
Pbxip1	-0.358698215	6HR	0.007487049
Wwtr1	-0.359083698	6HR	0.013592866
Rasa3	-0.359353591	6HR	0.001293596
Cnn3	-0.359494648	6HR	0.03802559
Aldh18a1	-0.359853669	6HR	0.034755548
Ccdc180	-0.359935712	6HR	0.020492814
Ttc39b	-0.361163832	6HR	0.008495687
Armcx5	-0.366018928	6HR	0.009426091
Lrtm2	-0.366863512	6HR	0.001810694
Slc8a1	-0.367036997	6HR	0.043121315
Kcnh8	-0.370652816	6HR	0.017336749
Prpf8	-0.370797361	6HR	0.042971354
Tle4	-0.373644876	6HR	7.76742e-05
Tnik	-0.373975515	6HR	3.68942e-05
Ret	-0.374093204	6HR	0.042971354
Fgfrl1	-0.374929943	6HR	0.025899911
Sorl1	-0.375170091	6HR	0.044708528
Trim62	-0.377572256	6HR	0.046321443
Sh2d5	-0.380355221	6HR	0.000740038
Zfp619	-0.381588703	6HR	0.049955559
Amotl1	-0.386287838	6HR	0.016364172
Ltbr	-0.388004638	6HR	0.029422317
Rgs20	-0.388191539	6HR	0.007531115
Gpr101	-0.389048252	6HR	0.047134048
Sash1	-0.390810832	6HR	0.041053219
Snrnp200	-0.390941291	6HR	0.040118181
Astn2	-0.393760477	6HR	0.020326326
Dnah11	-0.396145268	6HR	0.017673251
Col5a3	-0.396232174	6HR	0.019141225
Plat	-0.397457489	6HR	0.006016046
Nek6	-0.399498162	6HR	0.011583983
Cd24a	-0.400350656	6HR	7.87813e-05
Gm29096	-0.407172223	6HR	0.027296307
Ehd4	-0.40847119	6HR	0.017730099
Slc7a14	-0.410493086	6HR	0.025899911
Irgm1	-0.414689314	6HR	0.013692437
Cacng5	-0.415711884	6HR	0.000129041
Wdr63	-0.417760692	6HR	0.041336365
S100a10	-0.419486318	6HR	0.015214671
Npbwr1	-0.421605835	6HR	0.003118025
Gadd45a	-0.425609477	6HR	0.007274927
Dennd3	-0.428496569	6HR	0.039649315
Prep	-0.429512365	6HR	0.004355422
Thbs2	-0.431315018	6HR	0.049671001
Dchs1	-0.436501527	6HR	0.016990886
Dlk1	-0.437403259	6HR	7.96657e-05
Dnah6	-0.437657734	6HR	0.019945819
Il17rd	-0.437905936	6HR	0.019463856
Tmem51	-0.438183953	6HR	0.005311456
Trpc5	-0.438813432	6HR	0.034736372
Eme2	-0.439812136	6HR	0.014879771
Iqca	-0.44287421	6HR	0.048136151
Tmem100	-0.445731549	6HR	0.002706651
Sema5b	-0.44774834	6HR	0.042606182
Itpkb	-0.44961606	6HR	0.000804376
Nrxn3	-0.45049556	6HR	0.009109483
Bend3	-0.451337857	6HR	0.020710745
Grpr	-0.460776891	6HR	0.024872358
Kcnc2	-0.46864795	6HR	7.76742e-05
2810459M11Rik	-0.472877854	6HR	0.00170428
Tenm3	-0.474406246	6HR	2.35667e-05
Zmynd12	-0.476574266	6HR	0.036840154
Sdk2	-0.478328959	6HR	0.017673251
Fas	-0.483551621	6HR	0.020326326
Cd44	-0.484592974	6HR	0.019541993
Msn	-0.488763184	6HR	0.001680465
Morn3	-0.496682781	6HR	0.024189495
Col12a1	-0.499342539	6HR	0.014879771
Ciart	-0.502610606	6HR	0.010741182
Odc1	-0.505815767	6HR	4.88096e-05
Adamts8	-0.515855383	6HR	0.018252372
Slc25a34	-0.515950204	6HR	0.005594929
Lama3	-0.518464671	6HR	0.003275964
Timp1	-0.540027319	6HR	0.000916858
Ntsr1	-0.552351396	6HR	0.004399522
Eepd1	-0.553867134	6HR	0.006635187
Sh2d4b	-0.557497593	6HR	0.008084349
Pdlim4	-0.567767078	6HR	0.000482755
Alk	-0.590442719	6HR	0.000726201
Micall2	-0.591295352	6HR	0.000408952
Fam83f	-0.598656924	6HR	0.002490372
Glipr2	-0.628192926	6HR	7.43617e-05
Fcgr2b	-0.645984744	6HR	0.000180117
Uts2	-0.65236639	6HR	2.27801e-08
Plxnd1	-0.709926509	6HR	3.23553e-07
Aspg	-0.729426621	6HR	8.72163e-05
Tnfrsf1a	-0.729580725	6HR	1.90495e-07
Sbno2	-0.765690721	6HR	3.21404e-07
Angptl2	-0.772271921	6HR	1.72651e-05
B3gnt5	-0.785037224	6HR	1.56408e-05
Id2	-0.798688448	6HR	1.26052e-11
Serpina3n	-0.803807647	6HR	2.76895e-09
Fabp7	-0.836099327	6HR	7.16884e-08
Nr1d1	-0.856484326	6HR	1.07165e-18
Itga7	-0.920715492	6HR	1.15735e-11
