Gene	FDR	Class
Rfx2	0.0001	min30
Rfx3	0.0001	min30
X-box	0.0002	min30
Rfx1	0.0011	min30
Mef2a	0.0031	min30
Tead	0.0043	min30
Foxo1	0.0092	min30
Batf	0.027	min30
Tead4	0.027	min30
Rfx5	0.0294	min30
Ap-1	0.0624	min30
Jun	0.0006	hr01
Rfx	0.0049	hr01
X-box	0.0049	hr01
Foxp1	0.0064	hr01
Rfx2	0.0065	hr01
Pitx1	0.0065	hr01
Hre	0.0065	hr01
Rfx5	0.0084	hr01
Atf3	0.0084	hr01
Rfx1	0.019	hr01
Sox2	0.0208	hr01
Erra	0.0208	hr01
Nkx6.1	0.0249	hr01
Foxo1	0.0276	hr01
TRa	0.0286	hr01
Rxr	0.0391	hr01
Runx	0.0436	hr01
Foxa1	0.0455	hr01
Pr	0.0455	hr01
Ap-1	0.0455	hr01
Foxa1	0.0489	hr01
Rfx5	0.0001	hr03
Rfx	0.0001	hr03
X-box	0.0001	hr03
Sox2	0.0001	hr03
Sox3	0.0001	hr03
Rfx2	0.0001	hr03
Rfx1	0.0001	hr03
ZFX	0.0001	hr03
Maz	0.0011	hr03
Sox6	0.0011	hr03
Tlx	0.0012	hr03
Smad3	0.002	hr03
Znf711	0.002	hr03
Foxo1	0.003	hr03
Nf1	0.0141	hr03
PU.1	0.0149	hr03
Nkx6.1	0.0176	hr03
Nr5a2	0.0186	hr03
Ar	0.019	hr03
Gli3	0.0256	hr03
Tata-Box	0.0265	hr03
Nr5a2	0.0265	hr03
Pitx1	0.0265	hr03
Nf1	0.0342	hr03
Egr1	0.0342	hr03
Pr	0.0342	hr03
Pax5	0.0367	hr03
Nrf2	0.0441	hr03
Eomes	0.0448	hr03
Etv1	0.0475	hr03
Amyb	0.0488	hr03
Irf1	0.0488	hr03
Foxp1	0.0016	hr06
Rfx2	0.0016	hr06
Pr	0.004	hr06
Gre	0.008	hr06
Sox2	0.008	hr06
Foxa2	0.0092	hr06
Rfx	0.0092	hr06
Bach2	0.0092	hr06
Foxo1	0.0092	hr06
Scl	0.0092	hr06
X-box	0.0092	hr06
Rfx1	0.0092	hr06
Sox6	0.0092	hr06
Smad3	0.0092	hr06
Ap-1	0.0117	hr06
Ehf	0.012	hr06
MafA	0.0134	hr06
Nkx6.1	0.0134	hr06
Jun	0.0163	hr06
Nf1	0.0171	hr06
Fli1	0.0171	hr06
Batf	0.0211	hr06
Foxa1	0.0211	hr06
NFkB	0.0214	hr06
Lhx3	0.0257	hr06
Nf1	0.03	hr06
Atf3	0.03	hr06
Rfx5	0.03	hr06
Foxa1	0.0318	hr06
Sox3	0.035	hr06
Are	0.035	hr06
Nf-e2	0.035	hr06
Ebf1	0.0431	hr06
Crx	0.0431	hr06
Nrf2	0.0439	hr06
