Gene	FDR	Class
Rfx2	0.0001	min30
Rfx	0.0001	min30
Rfx1	0.0001	min30
X-box	0.0001	min30
Rfx5	0.0001	min30
Mef2a	0.0007	min30
Tead	0.0087	min30
Tead4	0.0284	min30
Erg	0.035	min30
Znf711	0.0389	min30
Spdef	0.0389	min30
Rfx	0.0004	hr01
X-box	0.0004	hr01
Rfx2	0.0004	hr01
Fli1	0.0004	hr01
Nkx6.1	0.0004	hr01
Gabpa	0.0005	hr01
Rfx1	0.0005	hr01
Foxo1	0.0009	hr01
Etv1	0.0012	hr01
Jun	0.0014	hr01
Sox2	0.0025	hr01
Foxp1	0.0028	hr01
Foxa1	0.0048	hr01
Runx	0.009	hr01
Rfx5	0.0113	hr01
Elk4	0.0115	hr01
Atf3	0.0123	hr01
Jun	0.0124	hr01
Elf1	0.0142	hr01
Sox3	0.0164	hr01
Cre	0.0164	hr01
JunD	0.0164	hr01
Bach2	0.0164	hr01
Isl1	0.0164	hr01
Erg	0.0164	hr01
Elk1	0.0173	hr01
Atf1	0.0241	hr01
Nanog	0.031	hr01
Nrf2	0.0355	hr01
Ets	0.0399	hr01
Rfx5	0.0001	hr03
Rfx	0.0001	hr03
Rfx2	0.0001	hr03
X-box	0.0001	hr03
Rfx1	0.0001	hr03
Etv1	0.0001	hr03
Sox2	0.0001	hr03
Erg	0.0001	hr03
Foxo1	0.0002	hr03
Zfx	0.0002	hr03
Smad3	0.0002	hr03
Tlx	0.0003	hr03
Sox3	0.0003	hr03
Klf5	0.0006	hr03
Fli1	0.0007	hr03
Maz	0.0007	hr03
Nf1	0.0008	hr03
Ets1	0.001	hr03
Znf711	0.0011	hr03
Sox6	0.0011	hr03
Gabpa	0.0011	hr03
PU.1	0.0024	hr03
MafA	0.0054	hr03
Nr5a2	0.006	hr03
Ehf	0.01	hr03
Mef2a	0.0121	hr03
TATA-Box	0.0133	hr03
Nr5a2	0.0146	hr03
Elf5	0.0146	hr03
Pr	0.0224	hr03
Lhx3	0.0224	hr03
Ar	0.0224	hr03
Nkx6.1	0.0279	hr03
MyoG	0.0333	hr03
Eomes	0.0373	hr03
Foxa2	0.0373	hr03
NeuroD1	0.0373	hr03
Smad4	0.0381	hr03
Elk1	0.0386	hr03
Atoh1	0.0412	hr03
Pax5	0.0412	hr03
Amyb	0.0421	hr03
Tr4	0.0447	hr03
Nf1	0.0447	hr03
Rfx2	0.0001	hr06
Rfx	0.0001	hr06
X-box	0.0001	hr06
Foxp1	0.0004	hr06
Tlx	0.0015	hr06
Pr	0.0015	hr06
Rfx1	0.002	hr06
Rfx5	0.002	hr06
Erg	0.0022	hr06
Sox3	0.0026	hr06
Sox2	0.0026	hr06
Foxo1	0.003	hr06
Ehf	0.0034	hr06
Smad3	0.0044	hr06
Nf1	0.0044	hr06
Gre	0.0044	hr06
Scl	0.0046	hr06
Fli1	0.0047	hr06
Lhx3	0.0056	hr06
Sox6	0.0056	hr06
E-box	0.008	hr06
Nkx6.1	0.0081	hr06
Are	0.0148	hr06
Bach2	0.0152	hr06
Elf5	0.0152	hr06
Foxa2	0.0163	hr06
Smad2	0.0218	hr06
Etv1	0.0218	hr06
Usf2	0.0218	hr06
Gre	0.0218	hr06
Bmal1	0.0229	hr06
Jun	0.0231	hr06
Ap1	0.0245	hr06
Ets	0.0278	hr06
Ets1	0.0323	hr06
Nkx2.5	0.0323	hr06
Zfx	0.0361	hr06
Nfkb	0.045	hr06
Smad4	0.0452	hr06
