Gene	log2FoldChange	time	padj
Syt17	0.79322139	3HR	5.72538e-09
Cobll1	0.77374126	3HR	3.17926e-13
C130074G19Rik	0.76305319	3HR	3.23723e-06
Ankrd63	0.759814539	3HR	2.10627e-05
Avpr1a	0.751870842	3HR	1.16059e-08
Ifit3	0.717158497	3HR	5.74743e-07
6430573F11Rik	0.68624276	3HR	1.1034e-07
Slc6a3	0.653597609	3HR	0.000497833
Pkib	0.645603749	3HR	1.50352e-06
Prr15	0.64417112	3HR	0.000790034
Gkn3	0.628470055	3HR	0.001174921
Phf21b	0.61982164	3HR	0.000290557
Ppp1r1a	0.597056356	3HR	1.01209e-05
Hba-a1	0.594135246	3HR	0.00294065
Vipr2	0.588357086	3HR	7.93816e-05
Pcdhac1	0.580474281	3HR	0.003967021
Dsel	0.576152916	3HR	2.71981e-07
Cd180	0.574662232	3HR	0.004248452
Ndp	0.571421372	3HR	0.00187188
Gamt	0.559134958	3HR	0.003555887
Ankrd37	0.558357746	3HR	0.006294903
Cxcl12	0.55759119	3HR	0.000521646
Mboat1	0.547280567	3HR	0.004085043
Prdm5	0.538167139	3HR	0.005194945
Oxtr	0.529984418	3HR	0.011350249
Akr1e1	0.528777443	3HR	4.5788e-05
Vegfc	0.525866415	3HR	0.011172841
Acer2	0.521234265	3HR	0.003549179
Myl9	0.516755083	3HR	0.003388234
Alas2	0.509381941	3HR	0.009151485
Tac1	0.508053497	3HR	0.007862874
Glt8d2	0.507357992	3HR	0.017287145
Stard13	0.500615897	3HR	0.001388581
Hba-a2	0.485147136	3HR	0.022762009
Trem2	0.482928354	3HR	0.018617466
Zfp618	0.480424676	3HR	0.001153689
D7Ertd443e	0.479857405	3HR	0.027547096
Grb14	0.479544846	3HR	0.000220657
4930447C04Rik	0.476007695	3HR	0.010721401
Slc25a35	0.475895882	3HR	0.025034221
Ociad2	0.47431597	3HR	0.00122924
Ppp1r17	0.467803226	3HR	0.000233227
Fgf10	0.467468918	3HR	0.03923635
Abcc8	0.464452858	3HR	0.004059012
Nudt16	0.464014148	3HR	0.01079835
Ifit3b	0.460304385	3HR	0.009002471
Traip	0.457669444	3HR	0.004313826
Tcf7l1	0.457646377	3HR	0.006420998
Plekho2	0.457323987	3HR	0.000314194
P2ry12	0.451886677	3HR	0.00013616
Plch2	0.444358711	3HR	5.32123e-05
D630023F18Rik	0.442685028	3HR	0.043177792
Qrfp	0.439991289	3HR	0.029498557
Lrrc75a	0.438212364	3HR	0.043338076
Dennd2d	0.438000072	3HR	0.046544583
Fam110b	0.437163354	3HR	0.000798555
Det1	0.434506843	3HR	0.020586797
Olig2	0.432208665	3HR	0.000326769
Itpripl2	0.431674866	3HR	0.039283447
Apln	0.43073591	3HR	0.007568308
BC034090	0.429668697	3HR	0.014488641
Siglech	0.423091891	3HR	0.024448613
Cdkl5	0.422121481	3HR	0.000270681
Flt3l	0.422023461	3HR	0.043177792
Pak7	0.421156145	3HR	0.000148963
Accs	0.419612174	3HR	0.033069505
Vav3	0.414090634	3HR	0.037589547
Cdh13	0.408044017	3HR	0.008454392
Prrg1	0.406504871	3HR	0.016541912
Npy5r	0.406301567	3HR	0.04908561
Rhou	0.400392833	3HR	0.013390885
Srd5a1	0.400224141	3HR	0.04057482
Prrx1	0.398532079	3HR	0.011350249
Slc26a11	0.398291863	3HR	0.032061489
Dab2	0.395948475	3HR	0.022207976
Hspb8	0.394964435	3HR	0.001586285
Prkag2	0.394543262	3HR	0.003017643
Mtus1	0.389107644	3HR	0.003241619
Vip	0.388611414	3HR	0.013390885
Dcaf17	0.383866033	3HR	0.010721401
Mettl7a1	0.383830503	3HR	0.000882515
S1pr1	0.383537097	3HR	6.42833e-06
1700007K13Rik	0.383084366	3HR	0.00507248
Epha7	0.383047394	3HR	0.032379433
Tcf7l2	0.381617491	3HR	0.035384752
Prmt8	0.380567955	3HR	0.009101126
Lair1	0.380386183	3HR	0.036290803
Manf	0.375989875	3HR	0.002373865
Sdf2l1	0.375872698	3HR	0.048259886
Vmac	0.373943996	3HR	0.036756533
Fam43a	0.371130386	3HR	0.00318651
Slmo1	0.367339353	3HR	0.036565921
Dhdh	0.366639072	3HR	0.013156418
Cpne8	0.366073986	3HR	0.029977733
Lxn	0.365182974	3HR	0.006104892
Prdx6	0.364364279	3HR	0.000596069
Slco1a4	0.363385687	3HR	0.048259886
Nup93	0.362783287	3HR	0.030240708
Mum1	0.361348071	3HR	0.020275769
Lrrc1	0.359050189	3HR	0.0274724
Dzip1l	0.356573475	3HR	0.036558716
Ormdl1	0.354962795	3HR	0.029413404
Fam189a2	0.352799518	3HR	0.036858933
Klhdc8b	0.351491438	3HR	0.008454392
Pnrc2	0.351027594	3HR	0.001102369
Ldb2	0.342167673	3HR	0.020284499
Tsc22d3	0.339211937	3HR	0.005609826
Tmeff2	0.336301869	3HR	0.00507248
Chst12	0.33430995	3HR	0.021035578
Krcc1	0.332263396	3HR	0.018617466
Ccng1	0.330770985	3HR	0.000959664
Nudt9	0.327067804	3HR	0.008620726
Plek	0.326111903	3HR	0.04918635
Anp32a	0.325301853	3HR	0.012753517
Nrep	0.32338161	3HR	0.046632064
Klf9	0.321732778	3HR	0.006785611
Cd38	0.320372124	3HR	0.035384752
Tom1l1	0.319796716	3HR	0.010721401
Magt1	0.318534853	3HR	0.010877478
Ankrd40	0.318287061	3HR	0.011574707
Zcchc24	0.31221413	3HR	0.002536352
2310022B05Rik	0.308345795	3HR	0.005157134
3110035E14Rik	0.304587345	3HR	0.037589547
Gsta4	0.30413987	3HR	0.03681358
Adi1	0.302184586	3HR	0.013198554
Tpgs2	0.301708387	3HR	0.044638387
Pbx1	0.300871434	3HR	0.013492368
