Gene	log2FoldChange	time	padj
Ddx3y	-0.302514361	1HR	0.011658023
Hsp90aa1	-0.30381049	1HR	0.006467879
Gse1	-0.310682281	1HR	0.024497893
Wbp5	-0.313960793	1HR	0.006775323
Rheb	-0.314013165	1HR	0.007236139
Fbln5	-0.314226358	1HR	0.044906938
Tro	-0.316433481	1HR	0.01868816
Mat2a	-0.317997027	1HR	0.015225019
Areg	-0.318413728	1HR	0.003125859
Acsl3	-0.319910769	1HR	0.00549543
Unc45a	-0.325538422	1HR	0.047315785
Uba6	-0.329567772	1HR	0.007169615
Syt4	-0.330134335	1HR	0.002278397
Nell1	-0.334582854	1HR	0.034376783
Pdp1	-0.334691401	1HR	0.001026739
Tpm4	-0.335816345	1HR	0.029939503
Nup98	-0.338519139	1HR	0.002681309
Zic2	-0.340947997	1HR	0.026590432
Fam167a	-0.350475884	1HR	0.006321224
Usp37	-0.351208128	1HR	0.023858942
Slc25a25	-0.354879652	1HR	0.018651312
Cyp51	-0.355957294	1HR	0.006287567
Slc2a3	-0.356474371	1HR	0.000320312
Ptbp1	-0.357371331	1HR	0.005531671
Fndc9	-0.36313118	1HR	0.003531689
Dusp14	-0.363418491	1HR	0.027189293
Oxnad1	-0.36569358	1HR	0.008107148
Nkrf	-0.368327189	1HR	0.014697218
Zbtb1	-0.371983067	1HR	0.015779165
Peg10	-0.37518657	1HR	0.000980648
Zbtb11	-0.375677866	1HR	0.00961993
Fzd1	-0.376777512	1HR	0.029357453
Tmem41b	-0.377552563	1HR	0.008107148
Traf3ip1	-0.379785671	1HR	0.026135625
Smarca5	-0.380632841	1HR	0.035636399
Map3k14	-0.381478772	1HR	0.040260917
Erf	-0.387407549	1HR	0.028178204
Taf7	-0.391221119	1HR	0.014331721
C1ql3	-0.392657716	1HR	0.015955268
Emp1	-0.395236978	1HR	0.034192271
Scg2	-0.401068905	1HR	2.50671e-07
Arf4	-0.403203804	1HR	1.26304e-05
Zswim4	-0.404181574	1HR	0.010042682
Bag3	-0.404256405	1HR	0.007399078
Arih1	-0.406838021	1HR	1.44718e-05
Btaf1	-0.407922076	1HR	0.006288424
Pja1	-0.410258226	1HR	6.17241e-05
Hspa4	-0.410966208	1HR	0.002927843
Clca3a1	-0.417276052	1HR	0.017051867
Zfp184	-0.420714319	1HR	0.036812996
Dusp16	-0.422325894	1HR	0.000702085
Txnip	-0.427969652	1HR	0.022563328
Pard6a	-0.431676018	1HR	0.016788879
Nolc1	-0.433923702	1HR	0.000142826
Gnrh1	-0.446990633	1HR	0.026867557
Eprs	-0.447127389	1HR	0.00340173
Acd	-0.447301085	1HR	0.00037815
Cdkn1a	-0.448337577	1HR	0.008696241
Nectin2	-0.449370725	1HR	0.009674416
Siah2	-0.451887172	1HR	0.006393614
Nfkbid	-0.452017274	1HR	0.024708662
Chrna3	-0.457641669	1HR	0.01325793
Ppan	-0.45802227	1HR	0.002687599
Bhlhe40	-0.462048047	1HR	5.45689e-06
Ezr	-0.462495537	1HR	0.007576232
Nedd9	-0.464185251	1HR	0.001154064
Lpar6	-0.468747905	1HR	0.008370571
Sgk1	-0.479304489	1HR	0.005964214
Pcsk1	-0.486094179	1HR	0.000161353
Rgs16	-0.490975866	1HR	2.77274e-07
Pde4d	-0.49225438	1HR	0.000891238
Inpp5f	-0.50463529	1HR	2.77304e-06
Cdk11b	-0.509471509	1HR	2.22364e-06
Elmsan1	-0.511852192	1HR	6.37367e-06
Otud1	-0.511952368	1HR	0.000997354
Sec24a	-0.514377511	1HR	8.05596e-05
Usp2	-0.517588555	1HR	2.57793e-06
Lmna	-0.520617475	1HR	4.39725e-05
Hmgcr	-0.52543648	1HR	4.835e-08
Dusp6	-0.526380964	1HR	0.000252836
C2cd4b	-0.526683108	1HR	2.76754e-05
Tnfrsf12a	-0.528357573	1HR	0.001482465
Fam13c	-0.536861842	1HR	4.46216e-06
Bcor	-0.537810055	1HR	1.86059e-08
Zfp948	-0.54623378	1HR	1.48652e-05
Rgag4	-0.549969557	1HR	1.16878e-10
Stk40	-0.56915378	1HR	6.09689e-07
Usp38	-0.572841012	1HR	5.70837e-08
Utp14b	-0.580202921	1HR	3.11582e-06
Cebpb	-0.584219826	1HR	0.000425782
Nptx1	-0.589627758	1HR	6.93059e-09
Arid5a	-0.589857395	1HR	0.000112661
Errfi1	-0.597850993	1HR	4.80712e-07
Vps37b	-0.601036472	1HR	4.00414e-06
Crem	-0.601786138	1HR	1.18673e-06
Tmem198	-0.614181773	1HR	5.14061e-05
Dxo	-0.616553821	1HR	1.67442e-06
Per2	-0.618259667	1HR	9.00953e-09
Skil	-0.61876709	1HR	6.77648e-11
Rora	-0.625254938	1HR	2.577e-11
Plk3	-0.625907676	1HR	6.37392e-06
Dnajb5	-0.628021724	1HR	4.88882e-07
Zdbf2	-0.633176494	1HR	1.00197e-09
Txndc11	-0.655294522	1HR	8.53257e-12
Fosl1	-0.658978295	1HR	2.9457e-09
Arl4d	-0.665026664	1HR	4.21557e-05
Dusp10	-0.666836683	1HR	7.29943e-07
Creb3l1	-0.680598147	1HR	6.38398e-08
Nab2	-0.684337022	1HR	4.3727e-06
Ghsr	-0.68498431	1HR	6.71915e-09
Ppp1r3c	-0.708307509	1HR	5.2506e-13
Kdm6b	-0.730495416	1HR	2.46444e-11
Rtl1	-0.783704212	1HR	4.11063e-12
Gadd45g	-0.797644599	1HR	9.02819e-12
