Gene	log2FoldChange	time	padj
Csrnp1	-0.303912203	30mins	4.79782e-06
Spry2	-0.32781268	30mins	3.00511e-06
Zfp36l2	-0.339076033	30mins	1.13463e-06
Mcl1	-0.342036721	30mins	2.98322e-12
Nfkbiz	-0.348067841	30mins	1.14521e-06
Arl5b	-0.359918266	30mins	7.51906e-07
Hes1	-0.405618357	30mins	6.78649e-09
Coq10b	-0.419035775	30mins	6.29346e-13
Apold1	-0.419948619	30mins	7.31388e-12
Pim3	-0.421914438	30mins	4.44254e-10
Emd	-0.430018015	30mins	7.04751e-14
Ccnl1	-0.460941545	30mins	2.95646e-17
Midn	-0.470147323	30mins	2.98322e-12
Tiparp	-0.472196498	30mins	2.84264e-12
Sik1	-0.490983026	30mins	1.95014e-13
Ppp1r15a	-0.528968658	30mins	1.22261e-15
Maff	-0.531088597	30mins	1.32655e-19
Cwc25	-0.544106357	30mins	6.78097e-20
Per1	-0.561937503	30mins	1.60234e-19
Tob1	-0.578404963	30mins	5.11078e-31
Klf4	-0.583485902	30mins	7.24208e-22
Plk2	-0.597778055	30mins	3.58858e-25
Cyr61	-0.606843456	30mins	4.94166e-21
Gem	-0.638602152	30mins	3.17516e-23
Nr4a2	-0.649837552	30mins	1.66043e-25
Ier2	-0.652240263	30mins	1.19826e-25
Dnajb1	-0.666681165	30mins	5.80307e-34
Dusp4	-0.68324129	30mins	1.68747e-27
Jun	-0.692059151	30mins	9.21345e-28
Egr3	-0.696269418	30mins	4.64692e-40
Spty2d1	-0.71646932	30mins	6.1368e-34
Rrad	-0.727665148	30mins	1.3676e-32
Nr4a3	-0.982011978	30mins	8.43491e-56
Egr4	-1.014970117	30mins	7.40505e-70
Fosb	-1.050195082	30mins	8.28049e-80
Npas4	-1.216451821	30mins	1.18669e-88
Egr1	-1.222975199	30mins	1.14025e-98
Egr2	-1.265963697	30mins	7.3606e-104
Fosl2	-1.300456378	30mins	5.1602e-99
Dusp1	-1.721866112	30mins	3.7415e-199
Arc	-1.723602239	30mins	8.647e-182
Btg2	-1.802073826	30mins	1.5726e-197
Junb	-1.996069465	30mins	1.7409e-233
Nr4a1	-2.167942607	30mins	3.4424e-291
Fos	-3.107294885	30mins	0
