Gene	Class
Rgs2	3_UTR
Slc18a1	3_UTR
Gphb5	3_UTR
Ddx17	3_UTR
Itpr2	3_UTR
C87436	3_UTR
Hspb1	3_UTR
Prokr2	3_UTR
Brca1	3_UTR
Gxylt1	3_UTR
Bzw1	3_UTR
Coa7	3_UTR
Plppr5	3_UTR
Phtf1	3_UTR
Herc3	3_UTR
Ntrk2	3_UTR
2010009K17Rik	3_UTR
Kmt2e	3_UTR
Lexm	3_UTR
Nme7	3_UTR
Ss18	3_UTR
Oprm1	3_UTR
Polq	3_UTR
Lmln	3_UTR
Myh10	3_UTR
Dcdc2a	3_UTR
Shank1	3_UTR
B430306N03Rik	3_UTR
Opa1	3_UTR
Tmem184b	3_UTR
Sncb	3_UTR
Mef2c	3_UTR
Purg	3_UTR
Klhl23	3_UTR
Msh5	3_UTR
Magi1	3_UTR
Nmur2	3_UTR
2810414N06Rik	3_UTR
Mir1192	3_UTR
Tubgcp4	3_UTR
Sspn	3_UTR
Ppp2r1b	3_UTR
Jmy	3_UTR
Gm12522	3_UTR
Cachd1	3_UTR
Ubtfl1	3_UTR
Mir674	3_UTR
Ptprj	3_UTR
Glmn	3_UTR
Mpdz	3_UTR
Gm13544	3_UTR
Lmbrd1	3_UTR
Dek	3_UTR
Atp9b	3_UTR
Bend4	3_UTR
Insyn2b	3_UTR
Fbxo30	3_UTR
Ubxn2b	3_UTR
Kidins220	3_UTR
Tet1	3_UTR
Sel1l2	3_UTR
Mtpn	3_UTR
Tiam1	3_UTR
Gm12216	3_UTR
6720468P15Rik	3_UTR
LOC100043315	3_UTR
Txndc11	3_UTR
E330009J07Rik	3_UTR
Larp4b	3_UTR
Rab4a	3_UTR
Kcnc4	3_UTR
Heatr5a	3_UTR
Syt16	3_UTR
H6pd	3_UTR
Tmem43	3_UTR
Tnks	3_UTR
Ryr3	3_UTR
Glt8d2	3_UTR
Sod3	3_UTR
Sall2	3_UTR
Nefl	3_UTR
Grm1	3_UTR
Zbtb43	3_UTR
Heg1	3_UTR
Atad1	3_UTR
9830107B12Rik	3_UTR
Adam11	3_UTR
4930562F07Rik	3_UTR
Erc2	3_UTR
Sh3glb1	3_UTR
Rad18	3_UTR
Muc15	3_UTR
Samd12	3_UTR
Fzd3	3_UTR
Ube3a	3_UTR
Alkal2	3_UTR
Dst	3_UTR
Clasp1	3_UTR
1700025G04Rik	3_UTR
Synj2	3_UTR
Cbx5	3_UTR
Myo5c	3_UTR
Fut10	3_UTR
Gys2	3_UTR
Elk3	3_UTR
Timm22	3_UTR
Il10rb	3_UTR
Naa11	3_UTR
Arhgap26	3_UTR
Mrps5	3_UTR
Shpk	3_UTR
Klf12	3_UTR
Gnat2	3_UTR
Btg2	3_UTR
Metap1d	3_UTR
Polr3f	3_UTR
Platr9	3_UTR
Tmem183a	3_UTR
Kdm5b	3_UTR
Klhl5	3_UTR
Zfp365	3_UTR
Atf2	3_UTR
Ppp4r2	3_UTR
Sh3bgrl2	3_UTR
Gin1	3_UTR
Rbpms	3_UTR
Prss23	3_UTR
Dennd1a	3_UTR
4732414G09Rik	3_UTR
Setd7	3_UTR
Cyb561d1	3_UTR
Klhdc1	3_UTR
Bbx	3_UTR
Ensa	3_UTR
Gpr21	3_UTR
B230118H07Rik	3_UTR
Crtam	3_UTR
Pou2af1	3_UTR
Sdccag8	3_UTR
Prom1	3_UTR
Cinp	3_UTR
Mx1	3_UTR
Fyttd1	3_UTR
Pdcl	3_UTR
Snap25	3_UTR
Fgfr1op2	3_UTR
Grap2	3_UTR
Ntm	3_UTR
Ptgs2	3_UTR
Ankrd11	3_UTR
Fggy	3_UTR
Aktip	3_UTR
Cyp2u1	3_UTR
Dusp16	3_UTR
L1td1	3_UTR
Ap3s1	3_UTR
Nudt7	3_UTR
Zfp275	3_UTR
Cccd201	3_UTR
Dclk1	3_UTR
Glt28d2	3_UTR
Cnn3	3_UTR
Cwc22	3_UTR
Chmp6	3_UTR
Dsc3	3_UTR
Plekhg1	3_UTR
Rras2	3_UTR
Olfr1444	3_UTR
Chrm5	3_UTR
Glrp1	3_UTR
Fbxl20	3_UTR
Mapk1	3_UTR
Srek1	3_UTR
Gabra1	3_UTR
Scgb3a1	3_UTR
Dtl	3_UTR
Pus10	3_UTR
Zmynd11	3_UTR
4933405O20Rik	3_UTR
Rps15a	3_UTR
Sufu	3_UTR
Cped1	3_UTR
Tmem121b	3_UTR
Mir6957	3_UTR
Car10	3_UTR
Cnot6l	3_UTR
Parm1	3_UTR
Ankrd10	3_UTR
Fam107b	3_UTR
Parva	3_UTR
Mir5114	3_UTR
Nppa	3_UTR
AU015791	3_UTR
Grb7	3_UTR
Klhl8	3_UTR
Chfr	3_UTR
Amer2	3_UTR
Il2ra	3_UTR
Celf2	3_UTR
Calhm5	3_UTR
Npsr1	3_UTR
Tmem41a	3_UTR
Pde10a	3_UTR
Rabac1	3_UTR
Lactb2	3_UTR
Cbx6	3_UTR
Slc35a5	3_UTR
Pds5b	3_UTR
Shcbp1l	3_UTR
Olfr750	3_UTR
Rnf115	3_UTR
Add2	3_UTR
Asph	3_UTR
Synrg	3_UTR
Relch	3_UTR
Fam192a	3_UTR
Sh3gl3	3_UTR
Polr1a	3_UTR
Mir680-3	3_UTR
1500015O10Rik	3_UTR
Mir568	3_UTR
Trp63	3_UTR
Grk3	3_UTR
Nfasc	3_UTR
Msantd1	3_UTR
Dnajc1	3_UTR
Inka2	3_UTR
Ism1	3_UTR
Olfr913	3_UTR
Fam135b	3_UTR
Cdon	3_UTR
Zfp617	3_UTR
Mib1	3_UTR
Ncoa6	3_UTR
B4galt5	3_UTR
Wbp2nl	3_UTR
Aagab	3_UTR
Mrps6	3_UTR
A230028O05Rik	3_UTR
Gc	3_UTR
Mir7080	3_UTR
BC004004	3_UTR
Dnajc27	3_UTR
Entpd4b	3_UTR
Rnf141	3_UTR
Lyve1	3_UTR
Tacc2	3_UTR
Ptprt	3_UTR
9330182O14Rik	3_UTR
Tgfbr2	3_UTR
Parn	3_UTR
Btla	3_UTR
Hip1r	3_UTR
Serpinc1	3_UTR
Ednrb	3_UTR
Mbp	3_UTR
Oca2	3_UTR
Lrig2	3_UTR
Ttc30b	3_UTR
Jazf1	3_UTR
Adcy5	3_UTR
Spdl1	3_UTR
Prkn	3_UTR
Edn3	3_UTR
Cyb5b	3_UTR
Ubxn4	3_UTR
Trmt11	3_UTR
Itga10	3_UTR
Trit1	3_UTR
Neurod4	3_UTR
Mmp12	3_UTR
Vps13c	3_UTR
Srrm4	3_UTR
Kdsr	3_UTR
Adipor1	3_UTR
Olfml2b	3_UTR
Terf2ip	3_UTR
Capza2	3_UTR
Olfm2	3_UTR
Eef1a1	3_UTR
Tsga10	3_UTR
Ankle2	3_UTR
Nudt13	3_UTR
Slc39a6	3_UTR
Smg1	3_UTR
Nadk2	3_UTR
Usp20	3_UTR
Cxcr6	3_UTR
Vil1	3_UTR
Snn	3_UTR
Fam174b	3_UTR
Slc1a2	3_UTR
Cast	3_UTR
Lyrm7	3_UTR
Antxr2	3_UTR
Cdh8	3_UTR
Vps26a	3_UTR
Syt6	3_UTR
Cd36	3_UTR
Sertad4	3_UTR
Cadps	3_UTR
Frmd4a	3_UTR
Vwa3a	3_UTR
Rhobtb3	3_UTR
St6galnac3	3_UTR
Npbwr1	3_UTR
Sdc3	3_UTR
Sdhd	3_UTR
Pou3f3	3_UTR
Pitpnm3	3_UTR
Sun1	3_UTR
Lrcol1	3_UTR
Themis	3_UTR
Atp6ap1l	3_UTR
Nom1	3_UTR
Pou6f1	3_UTR
Car12	3_UTR
Sltm	3_UTR
D1Ertd622e	3_UTR
2310015D24Rik	3_UTR
Ankfy1	3_UTR
Shisa3	3_UTR
Dct	3_UTR
Dclre1c	3_UTR
Tgfb1i1	3_UTR
Gyg	3_UTR
Bsn	3_UTR
Wnt9a	3_UTR
Slc43a2	3_UTR
Gcsam	3_UTR
Rnf6	3_UTR
Gbp9	3_UTR
Celf4	3_UTR
Pde4d	3_UTR
Ccdc141	3_UTR
Tmem230	3_UTR
Psmf1	3_UTR
Ift74	3_UTR
Ncapg2	3_UTR
Wdyhv1	3_UTR
Ndufb9	3_UTR
Sorl1	3_UTR
Dennd4a	3_UTR
4930553E22Rik	3_UTR
Lrrc58	3_UTR
Pogk	3_UTR
Txk	3_UTR
Polr3a	3_UTR
Zbtb10	3_UTR
Tmem144	3_UTR
Camk2d	3_UTR
Mest	3_UTR
Synj2bp	3_UTR
Mrpl3	3_UTR
Wdr95	3_UTR
Ptpn11	3_UTR
Habp4	3_UTR
Zscan12	3_UTR
Cfap20	3_UTR
Spdef	3_UTR
Sec63	3_UTR
Cdh6	3_UTR
Rc3h2	3_UTR
Prdm11	3_UTR
Sdcbp2	3_UTR
Tbc1d30	3_UTR
Dnaaf4	3_UTR
Dusp7	3_UTR
Vps8	3_UTR
Caln1	3_UTR
Dcun1d4	3_UTR
Stard4	3_UTR
Gpr151	3_UTR
Got2	3_UTR
Dock11	3_UTR
Serpinh1	3_UTR
Riiad1	3_UTR
Rad54b	3_UTR
Kdm1a	3_UTR
Hmg20a	3_UTR
Lzts1	3_UTR
Lman1	3_UTR
Sipa1l2	3_UTR
Bcat2	3_UTR
Iqck	3_UTR
Adar	3_UTR
Kcna2	3_UTR
Selenoi	3_UTR
Fntb	3_UTR
Tmem39a	3_UTR
Ktn1	3_UTR
Cmip	3_UTR
Taf9b	3_UTR
Exosc1	3_UTR
Sema4g	3_UTR
Mymk	3_UTR
Stx12	3_UTR
Aurkaip1	3_UTR
Ankrd9	3_UTR
Phf20l1	3_UTR
Rnu12	3_UTR
Neurl1b	3_UTR
Adcy10	3_UTR
Anapc4	3_UTR
Dkc1	3_UTR
2310057J18Rik	3_UTR
Gtdc1	3_UTR
Slc6a6	3_UTR
Spata6	3_UTR
Prkce	3_UTR
Zbtb25	3_UTR
Cflar	3_UTR
Slc26a9	3_UTR
Sec16b	3_UTR
Ppp2cb	3_UTR
Zrsr2	3_UTR
Pakap	3_UTR
Clip4	3_UTR
Gpr83	3_UTR
Mnt	3_UTR
Pla1a	3_UTR
Tfcp2l1	3_UTR
Mxd4	3_UTR
Fam149b	3_UTR
Lamtor3	3_UTR
Pgk1	3_UTR
Fmn1	3_UTR
Nt5c1a	3_UTR
Arhgef33	3_UTR
Ak7	3_UTR
Tnfrsf13c	3_UTR
Stx2	3_UTR
Xpnpep2	3_UTR
Txlnb	3_UTR
Nsmce3	3_UTR
Sec23ip	3_UTR
Rap1b	3_UTR
6820408C15Rik	3_UTR
E230016M11Rik	3_UTR
Ehd3	3_UTR
Fbxo7	3_UTR
1700008K24Rik	3_UTR
Slc22a7	3_UTR
Arhgap44	3_UTR
Smg8	3_UTR
Serpine1	3_UTR
Rnft2	3_UTR
Phlda2	3_UTR
Lhx2	3_UTR
Snrnp200	3_UTR
Ccnd2	3_UTR
Czib	3_UTR
Scn8a	3_UTR
Gldnos	3_UTR
U2surp	3_UTR
Tfdp2	3_UTR
Rgl1	3_UTR
Sin3b	3_UTR
Cacnb2	3_UTR
Msrb2	3_UTR
Gemin8	3_UTR
Kcnc3	3_UTR
Rsf1os2	3_UTR
Gm5544	3_UTR
Gpr155	3_UTR
Epcam	3_UTR
Nt5dc3	3_UTR
Kcnmb4os1	3_UTR
Sec22c	3_UTR
Wipi2	3_UTR
Slc41a1	3_UTR
Kat6a	3_UTR
Zfp184	3_UTR
Arhgef2	3_UTR
Sike1	3_UTR
Adig	3_UTR
Tpte	3_UTR
Gpr34	3_UTR
Ssx2ip	3_UTR
Polr1b	3_UTR
Spata2	3_UTR
Extl1	3_UTR
Gm7694	3_UTR
Sde2	3_UTR
Kcnh1	3_UTR
Ripor2	3_UTR
Lrrc9	3_UTR
Il18rap	3_UTR
Plp1	3_UTR
Odf2l	3_UTR
Duox2	3_UTR
Slc25a47	3_UTR
Dpys	3_UTR
Elavl3	3_UTR
Wrb	3_UTR
Atp2b4	3_UTR
Alg11	3_UTR
Dse	5_UTR
Mtif2	5_UTR
Arhgef33	5_UTR
Sowaha	5_UTR
Kctd4	5_UTR
Col28a1	5_UTR
Rap1b	5_UTR
Sema4d	5_UTR
Eea1	5_UTR
Ubash3b	5_UTR
Bcl6	5_UTR
B3galt2	5_UTR
C630031E19Rik	5_UTR
Olfr1022	5_UTR
Wdr47	5_UTR
Cntn5	5_UTR
Lrrc4c	5_UTR
Mpped2	5_UTR
Atg13	5_UTR
Prelid3b	5_UTR
Map4	5_UTR
Mmaa	5_UTR
Atcay	5_UTR
