CT17_1	CT17_1s	CT17_2	CT17_2s	CT23_1	CT23_2	Hour1_1	Hour1_2	Hour3_1	Hour3_2	Hour6_1	Hour6_2	Min30_1	Min30_1s	Min30_2	Min30_2s
0610007P14Rik	614	1678	650	1635	535	680	598	622	564	570	626	554	592	1536	692	1638
0610009B22Rik	295	772	283	676	280	283	288	289	246	277	317	255	277	613	291	741
0610009L18Rik	33	60	27	65	24	49	30	36	18	29	24	19	23	54	28	61
0610009O20Rik	652	1542	576	1404	636	628	577	577	574	573	626	614	581	1409	617	1430
0610010F05Rik	1046	2239	976	2329	868	1163	1139	1128	934	1001	1057	1054	1011	1966	1008	2225
0610010K14Rik	23	52	24	43	14	18	21	18	15	17	19	24	21	44	23	56
0610012G03Rik	316	675	291	540	277	291	267	334	249	265	308	252	262	636	325	656
0610030E20Rik	447	1310	361	1267	403	457	398	334	403	360	413	404	445	1164	450	1235
0610037L13Rik	804	2104	601	1976	651	751	751	699	753	680	807	663	841	1855	762	2035
0610040J01Rik	58	113	52	119	56	60	39	55	56	49	58	53	45	124	55	115
1110002E22Rik	3	7	2	7	7	5	4	5	3	5	4	6	3	8	1	7
1110004E09Rik	302	790	292	767	256	275	290	311	235	265	284	287	330	781	351	792
1110004F10Rik	1055	2570	1031	2429	915	1180	1138	1092	959	958	1055	971	1035	2240	1144	2438
1110008F13Rik	371	917	346	865	325	322	340	374	386	377	370	366	343	861	415	885
1110008L16Rik	179	408	140	353	182	217	170	173	165	153	224	204	172	383	180	363
1110008P14Rik	396	800	353	778	321	311	360	378	365	325	391	378	306	855	374	826
1110012L19Rik	124	274	125	261	97	106	106	102	111	99	98	108	98	250	123	282
1110017D15Rik	322	599	259	545	257	265	307	327	248	299	344	298	303	622	304	552
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	1349	3152	1054	2797	1127	1161	1163	1124	1035	1106	1299	1112	1098	2768	1160	2962
1110032F04Rik	50	94	61	97	67	64	36	70	48	61	71	78	52	105	61	123
1110034G24Rik	112	308	90	238	88	92	106	89	91	68	112	88	98	238	106	268
1110037F02Rik	802	1689	983	1824	824	1142	918	977	822	1118	876	1021	929	1513	1063	1656
1110038F14Rik	158	327	130	343	142	153	139	149	134	130	151	149	134	377	148	359
1110051M20Rik	1855	4471	1908	4298	1756	2021	1895	1938	1711	1783	1763	1871	1835	4196	1919	4164
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	429	968	404	937	360	390	383	390	331	368	390	354	390	866	456	1003
1110059G10Rik	199	517	179	466	160	194	196	193	182	184	202	179	211	453	219	507
1110065P20Rik	243	430	241	360	204	184	224	214	205	192	216	204	181	385	247	444
1190002N15Rik	741	1903	773	1986	603	747	601	687	667	689	639	742	730	1592	804	1780
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1190005I06Rik	12	38	10	28	12	5	7	11	15	10	11	11	5	32	6	25
1190007I07Rik	108	209	75	179	91	66	113	64	71	76	102	77	95	223	71	203
1300017J02Rik	1	3	4	4	3	3	1	2	0	3	0	2	3	4	2	4
1500009C09Rik	1504	3171	1485	3103	1352	1367	1380	1374	1276	1200	1251	1245	1497	3144	1538	3117
1500009L16Rik	285	592	283	624	201	273	276	255	244	257	221	214	271	627	315	675
1500011B03Rik	1958	4911	1686	4343	1648	1690	1622	1599	1671	1544	1645	1632	1588	4456	1708	4694
1500011K16Rik	271	558	252	525	198	234	271	225	199	204	228	205	238	497	257	591
1500015O10Rik	18	35	5	37	9	8	24	18	26	10	19	15	25	25	64	69
1520401A03Rik	4	13	5	9	9	7	3	7	9	3	2	4	4	15	3	14
1600002H07Rik	119	299	94	286	97	115	117	97	130	94	134	120	112	229	136	317
1600002K03Rik	51	116	36	112	40	36	38	44	38	31	44	30	38	98	48	100
1600012H06Rik	307	769	251	721	226	304	264	277	218	280	328	288	249	656	294	759
1600014C10Rik	702	1699	691	1601	618	783	647	719	604	616	605	686	640	1547	750	1537
1600014C23Rik	2	3	0	1	1	0	1	0	2	1	0	0	3	3	1	4
1600015I10Rik	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1
1700001C02Rik	195	282	146	242	148	153	161	135	130	139	160	203	152	296	154	271
1700001C19Rik	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	1	3	2	0	3	2	0	3	1	0	0	2	0	0	0	5
1700001K19Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001L19Rik	342	850	378	841	332	362	370	345	289	320	316	283	344	822	398	870
1700001O22Rik	12	32	19	32	19	12	17	17	16	23	22	23	18	38	13	39
