Gene	log2FoldChange	time	padj
Hif3a	1.244707682	6HR	6.36222e-15
Mertk	0.769987809	6HR	1.28075e-10
Zbtb16	0.744334517	6HR	2.11278e-06
Cdh19	0.699478372	6HR	5.2248e-08
Fras1	0.698571447	6HR	7.8519e-05
Eva1a	0.639749323	6HR	0.00027826
Ccna1	0.617493448	6HR	0.002030894
Tnfaip6	0.610263583	6HR	0.001402096
Hdac9	0.564843292	6HR	3.46808e-07
Cys1	0.552395053	6HR	0.003812153
Klf15	0.542219923	6HR	7.32009e-05
Hr	0.541905316	6HR	0.00096745
Fmo2	0.531645476	6HR	0.013590693
Hspa1b	0.528261766	6HR	0.014613779
Icosl	0.52629677	6HR	0.00265465
Slc38a11	0.522805459	6HR	0.01156569
Gpt2	0.518583593	6HR	1.81749e-05
Mfsd2a	0.518175241	6HR	0.001387872
Rab39	0.516328541	6HR	0.016364172
Samd9l	0.502336499	6HR	0.007317537
Ifit1	0.499338023	6HR	0.020051906
Tns3	0.498744928	6HR	7.76742e-05
Gng11	0.497980123	6HR	0.009109483
Hapln1	0.492152774	6HR	0.010651045
Atp8b5	0.490475887	6HR	0.019336302
Lgi2	0.488990896	6HR	0.000322419
Gdf10	0.483244896	6HR	0.009426091
Map2k6	0.483005026	6HR	0.011011713
Gm11627	0.479189152	6HR	0.032029217
Rin2	0.47274553	6HR	0.000766462
Fam107a	0.471912442	6HR	1.73812e-05
Dusp19	0.464953414	6HR	0.000445849
Ccdc141	0.464406681	6HR	0.00084713
Mxi1	0.463631655	6HR	8.83022e-05
Xaf1	0.463443163	6HR	0.038390998
Rbpms2	0.459596657	6HR	0.041128387
Gng7	0.459473356	6HR	1.81749e-05
Fam212b	0.4558332	6HR	0.027967597
Wipf3	0.454505345	6HR	0.003355838
Il17rb	0.452361594	6HR	0.044042062
Cables1	0.450112388	6HR	9.29632e-05
Tgfb3	0.445692368	6HR	0.017336749
Samd1	0.443249913	6HR	0.002758494
Zbtb40	0.442753392	6HR	0.005643963
Nkd1	0.43872057	6HR	0.01953363
Gm20594	0.438199555	6HR	0.002490372
Rgs2	0.432305399	6HR	0.007240789
Steap3	0.431629842	6HR	0.026651972
Cebpzos	0.428576142	6HR	0.006582983
Banp	0.420519505	6HR	0.001242784
Cd59a	0.420220527	6HR	0.023202196
Aamdc	0.411700121	6HR	0.023809777
Neu4	0.409520794	6HR	0.035088977
Proca1	0.409482411	6HR	0.024721067
Rab40b	0.406647714	6HR	0.044628429
Fmo1	0.399967428	6HR	0.002755719
Kcnn2	0.397272585	6HR	0.016364172
Plin3	0.391676068	6HR	0.033992622
St3gal4	0.39143579	6HR	0.020710745
Wee1	0.390676137	6HR	0.008299831
Lamp5	0.390606687	6HR	0.028435263
Hbb-bt	0.389013132	6HR	0.046775342
Rgs7bp	0.387388242	6HR	0.005574989
Ddit4	0.383157743	6HR	0.030108097
Tef	0.383027391	6HR	0.000186787
Cdk19	0.380626588	6HR	0.002416943
Ube2ql1	0.378722144	6HR	0.028448878
Sord	0.372627153	6HR	0.033132382
Rps11	0.371229707	6HR	0.032808777
Pla2g16	0.369716447	6HR	0.002748497
Tmem243	0.368206373	6HR	0.024720683
Fgfr3	0.366313313	6HR	0.000588574
Tmcc1	0.363374794	6HR	0.003600421
Gmpr	0.360677555	6HR	0.027305285
Ttll3	0.359872583	6HR	0.033316879
Snap23	0.358996962	6HR	0.030201867
Ahsa2	0.358460806	6HR	0.027140052
Gjb6	0.35635328	6HR	0.012479177
Tmtc4	0.354377667	6HR	0.012396554
Cisd3	0.352219211	6HR	0.027140052
Calb2	0.352159529	6HR	0.039649315
Itm2a	0.351585475	6HR	0.015647708
Itpk1	0.351138052	6HR	0.005275385
Prkg2	0.348184651	6HR	0.013318308
Etnppl	0.347013414	6HR	0.020731556
Swt1	0.344687206	6HR	0.046292236
Pdgfd	0.34264427	6HR	0.046410796
Sdc4	0.338994149	6HR	0.00151773
Rida	0.33766019	6HR	0.043121315
Ppp1r13b	0.336555609	6HR	0.017667512
Cacnb3	0.335931955	6HR	0.015011056
Cxcl14	0.335099311	6HR	0.009803276
Pitpnm2	0.334404307	6HR	0.002814394
Necab2	0.334393784	6HR	0.030938007
4930430F08Rik	0.334096823	6HR	0.040576644
Chordc1	0.332276963	6HR	0.003355838
Cdc37l1	0.330999519	6HR	0.037926058
Fxyd7	0.32955954	6HR	0.049332244
Nkain2	0.327318532	6HR	0.027174268
Crot	0.326617352	6HR	0.029916728
Fat3	0.324566481	6HR	0.008495687
Pip4k2a	0.321123522	6HR	0.003126424
Sfxn4	0.318922566	6HR	0.040278918
Irf3	0.317936459	6HR	0.045608198
Eps15	0.315591681	6HR	0.000897768
S100b	0.314357316	6HR	0.010892335
Ak3	0.313986482	6HR	0.031305435
Sepp1	0.313855119	6HR	0.005059323
Fgf1	0.306404845	6HR	0.001235188
Sh3bgrl	0.303935481	6HR	0.006155871
Ptch1	0.303461136	6HR	0.021377102
Prkcz	0.302023912	6HR	0.015086859
Ptn	0.301678786	6HR	0.023627203
