Gene	log2FoldChange	time	padj
Fbxo38	-0.300964268	3HR	0.033585448
Naa25	-0.301043366	3HR	0.043085665
Fbxo33	-0.301831842	3HR	0.036290803
Rps6ka3	-0.302477479	3HR	0.045612676
Scyl2	-0.302583752	3HR	0.018617466
Elovl6	-0.303697111	3HR	0.003232806
Gpsm1	-0.304341724	3HR	0.037537272
Prkar1a	-0.306299265	3HR	0.043177792
Ptprn	-0.306802523	3HR	0.004035133
Slx4	-0.307694404	3HR	0.035223918
Pqbp1	-0.310242297	3HR	0.046446298
Igfbp5	-0.311071624	3HR	0.006900748
Diaph1	-0.311556543	3HR	0.040714257
Pde2a	-0.313730856	3HR	0.013581435
Bsn	-0.315119007	3HR	0.032061489
Slc7a5	-0.318527461	3HR	0.023640948
Cited2	-0.319390091	3HR	0.008587053
Mpp2	-0.32074835	3HR	0.010370337
Epb41l5	-0.321164207	3HR	0.043382235
Slc35g2	-0.324310041	3HR	0.040694538
Lrrc8b	-0.325008911	3HR	0.010169758
Htra1	-0.325239428	3HR	0.003947068
Prrc2c	-0.327784138	3HR	0.008451042
Cdh20	-0.330096891	3HR	0.040917335
Arhgef40	-0.330985872	3HR	0.005918761
Fam53c	-0.331042608	3HR	0.007405654
Zdhhc5	-0.331642035	3HR	0.005361381
Pmvk	-0.331962437	3HR	0.020924757
Tuba4a	-0.333098289	3HR	0.039843718
Tox4	-0.333162123	3HR	0.004085043
Zfp667	-0.333495746	3HR	0.010775313
Sipa1l2	-0.335674388	3HR	0.036279955
Gspt2	-0.335700019	3HR	0.001842483
Man1b1	-0.335773491	3HR	0.004085976
Cpne2	-0.33727359	3HR	0.003947068
Ranbp2	-0.337551991	3HR	0.029977733
Jund	-0.341171043	3HR	0.01240027
Clstn3	-0.342500808	3HR	0.045612676
Slc22a15	-0.344438376	3HR	0.030582204
Zc3h12c	-0.344500501	3HR	0.03534136
Maml3	-0.345793739	3HR	0.028578924
Cdk13	-0.346814182	3HR	0.016037448
Bcl2l13	-0.347271382	3HR	0.004007694
Cgref1	-0.347423329	3HR	0.025626591
Lrp1b	-0.347499742	3HR	0.028375376
Cmip	-0.350399106	3HR	0.004059012
Polr2a	-0.351050566	3HR	0.038061155
Zxdc	-0.351522546	3HR	0.012356139
Extl3	-0.352368566	3HR	0.000531498
Iffo2	-0.352411288	3HR	0.032379433
Fgfr2	-0.352717744	3HR	0.012799617
Chpf	-0.352781403	3HR	0.026477189
Brinp1	-0.352911516	3HR	0.000877619
Cbarp	-0.353668406	3HR	0.000166974
Slc3a2	-0.353948024	3HR	0.008482692
Gfra1	-0.354082265	3HR	0.040856662
Tcf12	-0.354219727	3HR	0.004496491
Ptbp3	-0.354247099	3HR	0.010877478
Ypel4	-0.355010817	3HR	0.008210364
Clasp1	-0.355492594	3HR	0.008578754
Tanc2	-0.355874341	3HR	0.000721828
Ogfr	-0.355883154	3HR	0.024248889
Mapkapk2	-0.357845514	3HR	0.011156318
Zbtb21	-0.358235229	3HR	0.00944734
Ttpal	-0.358511642	3HR	0.002306197
Nms	-0.360603358	3HR	0.016929803
Bcorl1	-0.361034462	3HR	0.030757775
Arhgef7	-0.361246725	3HR	0.000168024
Fbxo34	-0.364490965	3HR	0.037137052
Gfod1	-0.365135424	3HR	0.005132163
Rnd3	-0.368315502	3HR	0.009536555
Syt6	-0.369246187	3HR	0.010370337
Taf1	-0.371974306	3HR	0.010169758
Tubgcp6	-0.374002062	3HR	0.010637089
Aff2	-0.374128359	3HR	0.036290803
Crh	-0.374277564	3HR	0.035206857
Pdzd2	-0.374695577	3HR	0.004007694
Usp53	-0.3747917	3HR	0.004679508
Peg3	-0.376034616	3HR	0.008454392
Calcr	-0.378646377	3HR	0.018157455
Ptpn9	-0.379575251	3HR	0.001256751
Fbxo28	-0.380733728	3HR	0.000369051
Ndst1	-0.381064653	3HR	0.000238758
Ccnd3	-0.382300962	3HR	0.042614809
Trip12	-0.384533029	3HR	0.003139443
Stat3	-0.384988152	3HR	0.01001497
Camk2n2	-0.386687912	3HR	0.006589787
Ska3	-0.387836321	3HR	0.040423149
Brms1	-0.390123274	3HR	0.04548013
Nf1	-0.390816	3HR	0.048987262
Ptpn23	-0.393175465	3HR	0.000531498
Sfmbt1	-0.393243103	3HR	0.010169758
Gldc	-0.39366331	3HR	0.014813378
Fam131a	-0.394649185	3HR	0.001897033
Ecel1	-0.395189186	3HR	0.004397702
Slc7a1	-0.39591425	3HR	0.013087582
Ttbk2	-0.396396882	3HR	0.00187188
Sh3rf1	-0.397037496	3HR	0.006620382
Nceh1	-0.401430625	3HR	9.61637e-05
Rasal2	-0.401502738	3HR	0.008411115
Zbtb46	-0.401763183	3HR	0.04057482
Edc4	-0.402841503	3HR	0.000570047
Cckar	-0.403520981	3HR	0.030582204
Pak3	-0.404419081	3HR	0.017551856
Map3k19	-0.404758215	3HR	0.036290803
Synj2	-0.40572242	3HR	0.000626777
Arhgap31	-0.410708233	3HR	0.022140278
Grm1	-0.411478184	3HR	0.00601054
Dennd4c	-0.411835288	3HR	0.000939435
Furin	-0.414183823	3HR	0.00193192
Rhobtb2	-0.415088012	3HR	0.000319944
Icam5	-0.418033828	3HR	0.046428498
Peak1	-0.4220831	3HR	0.000352597
Nr2f6	-0.423601724	3HR	0.025626591
Plcd3	-0.424863771	3HR	0.038542059
Tbc1d1	-0.425477756	3HR	0.000771227
Mtmr11	-0.425513218	3HR	0.031425014
Spag4	-0.425652144	3HR	0.043177792
Pgbd5	-0.428906245	3HR	0.000158145
Nrp1	-0.42910892	3HR	0.010779682
Zim1	-0.429849785	3HR	0.000606871
Fgd5	-0.43006481	3HR	0.015598499
Zyx	-0.43074805	3HR	0.0013983
Rad54l2	-0.432791278	3HR	0.000274123
