KD1	KD2	KD3	KL1	KL2	KL3	WD1	WD2	WD3	WL1	WL2	WL3
0610007P14Rik	1210	1041	1273	1057	1107	1124	1117	1069	1177	1058	1133	1089
0610009B22Rik	857	878	1013	803	885	974	913	836	1026	817	804	875
0610009L18Rik	112	121	144	111	114	129	134	149	171	110	102	132
0610009O20Rik	1039	1104	1003	1068	1154	1025	1068	1246	1300	1212	1185	1151
0610010F05Rik	2267	2179	2162	2195	2298	2270	2076	2318	2333	2226	2465	2326
0610010K14Rik	42	20	43	45	49	47	48	46	48	46	48	53
0610012G03Rik	822	729	963	810	753	913	856	790	947	848	688	870
0610030E20Rik	1066	857	994	971	956	974	956	1020	1043	973	968	1041
0610037L13Rik	1791	1497	1758	1639	1748	1875	1754	1798	2058	1769	1805	1968
0610040J01Rik	88	93	80	77	87	102	70	70	95	100	88	83
1110002E22Rik	5	4	5	5	3	4	3	6	4	5	7	6
1110004E09Rik	902	1001	1165	993	1089	1072	1033	1162	1250	1069	1064	1164
1110004F10Rik	3577	3696	4115	3484	4040	4119	3499	3879	4119	3657	3687	3878
1110008F13Rik	1175	1009	1230	1175	1117	1298	1177	1016	1277	1149	1187	1273
1110008L16Rik	260	273	262	266	296	251	277	318	276	308	297	246
1110008P14Rik	940	824	987	817	997	1025	927	775	1016	938	842	996
1110012L19Rik	312	286	337	316	303	303	367	298	358	303	347	368
1110017D15Rik	294	216	345	326	299	362	353	272	394	340	328	398
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	1414	1295	1506	1295	1440	1384	1431	1484	1676	1419	1265	1463
1110032F04Rik	178	112	163	145	125	144	161	96	119	136	140	133
1110034G24Rik	341	290	361	315	308	334	326	306	375	329	306	379
1110037F02Rik	1496	1863	1529	1581	2009	1540	1549	2246	1669	1743	1890	1599
1110038F14Rik	450	411	527	416	407	501	481	489	581	474	399	509
1110051M20Rik	3145	3158	3192	3217	3494	3463	3357	3527	3600	3577	3446	3500
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	1082	910	1090	957	955	1028	968	1039	1189	1010	995	1033
1110059G10Rik	531	480	565	526	459	563	468	504	629	485	520	589
1110065P20Rik	897	740	938	712	743	919	820	772	1074	785	773	913
1190002N15Rik	1664	1564	1658	1411	1273	1381	1591	1941	1646	1498	1654	1558
1190003K10Rik	0	0	0	0	0	0	0	0	0	1	0	0
1190005I06Rik	106	91	136	88	80	121	78	76	134	110	85	92
1190007I07Rik	209	213	262	200	215	260	216	246	301	249	216	211
1300017J02Rik	4	2	3	1	1	0	2	3	6	1	1	4
1500009C09Rik	3830	3674	4144	3860	3928	4087	4088	3916	4486	4046	3564	4022
1500009L16Rik	756	549	746	657	541	638	653	631	749	682	676	672
1500011B03Rik	2809	2315	3059	2652	2419	2870	2924	2647	3325	2695	2569	2907
1500011K16Rik	695	569	761	638	630	747	596	643	831	628	550	731
1500015O10Rik	121	45	45	51	55	41	101	47	75	95	31	60
1520401A03Rik	11	8	10	9	11	13	12	12	10	10	18	10
1600002H07Rik	228	267	239	258	291	267	225	311	270	274	252	298
1600002K03Rik	163	147	189	143	207	192	181	196	209	188	193	230
1600012H06Rik	639	521	605	534	575	619	577	564	607	523	582	597
1600014C10Rik	1669	1514	1523	1450	1617	1557	1698	1817	1765	1667	1604	1593
1600014C23Rik	4	2	5	3	3	4	1	3	1	1	3	2
1600015I10Rik	0	1	0	0	0	0	0	0	0	1	1	0
1700001C02Rik	139	82	142	153	166	158	174	138	202	129	134	169
1700001C19Rik	2	1	3	2	1	3	3	1	0	3	1	1
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	7	2	2	3	3	9	0	3	3	7	8	3
1700001K19Rik	0	1	0	0	2	0	0	0	0	0	0	0
1700001L19Rik	628	708	779	699	741	721	780	890	986	788	741	850
1700001O22Rik	57	26	50	42	36	56	53	22	47	27	41	34
1700001P01Rik	7	4	8	6	11	7	4	9	5	5	8	9
1700003E16Rik	863	796	913	923	945	966	893	867	962	934	849	968
1700003F12Rik	22	12	23	18	13	28	29	16	33	16	22	20
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	2	1	3	3	0	5	4	7	0	1	7	3
1700007G11Rik	112	111	148	109	166	145	129	152	164	120	119	188
1700007K09Rik	1	0	0	0	2	1	2	1	0	3	1	3
1700007K13Rik	700	731	938	814	947	971	779	775	1014	892	738	963
1700008O03Rik	47	38	50	68	37	40	46	27	38	36	32	40
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	1	0	0	0	0	0	0	1	0	0	0	0
1700010I14Rik	94	113	132	120	135	130	108	129	120	126	119	125
1700011E24Rik	5	1	4	1	2	2	1	2	2	1	1	5
1700011H14Rik	3	7	2	6	1	5	1	2	1	3	2	3
1700011I03Rik	5	5	9	12	7	6	7	8	4	9	3	7
1700011L22Rik	0	1	1	1	0	0	0	1	1	0	1	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700012B09Rik	219	138	233	211	216	218	221	178	267	187	222	284
1700012L04Rik	0	0	1	1	0	0	0	0	0	0	1	0
1700012P22Rik	5	2	3	4	5	4	6	6	9	7	7	8
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	1	0
1700013F07Rik	150	148	166	151	181	166	200	189	214	178	176	206
1700013G24Rik	0	0	0	0	0	0	0	2	0	0	0	0
1700013H16Rik	2	0	0	2	0	0	0	0	1	0	0	0
1700014D04Rik	3	1	3	1	1	3	3	0	1	1	6	3
1700015E13Rik	1	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	1	2	3	2	3	3	3	4	3	1	0	4
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	3	1	2	1	2	5	5	1	0
1700016D06Rik	1	1	1	2	1	0	3	0	1	0	0	0
1700016H13Rik	0	0	1	2	0	1	0	0	0	1	1	0
1700016K19Rik	198	187	247	241	247	219	249	199	275	240	206	261
1700017B05Rik	418	484	471	422	459	438	546	753	648	563	580	533
1700017D01Rik	0	0	1	0	0	0	0	0	0	0	0	0
1700017N19Rik	1	0	1	2	2	1	1	0	2	0	1	0
1700018B08Rik	0	0	0	0	0	1	0	0	0	0	0	0
