baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	absLog
0610007P14Rik	1139.27042156583	-0.136891460284602	0.0766436329564795	1.78607739487418	0.0740867276813082	0.999844636672322	0.136891460284602
0610009B22Rik	903.889751443932	-0.0935218073331367	0.0792423662015843	1.18019958030061	0.237920845934887	0.999844636672322	0.0935218073331367
0610009L18Rik	122.253577057958	-0.0807370460168888	0.0872715300421082	0.92512467671798	0.354901058373646	0.999844636672322	0.0807370460168888
0610009O20Rik	1067.17808916263	-0.0317146257809609	0.0697703861654494	0.454557119775068	0.649427889763392	0.999844636672322	0.0317146257809609
0610010F05Rik	2233.05682281183	-0.0439729176996258	0.0604045289675141	0.727973853140626	0.46662959215801	0.999844636672322	0.0439729176996258
0610010K14Rik	40.9176556069214	0.0693705859942864	0.0706967279684156	-0.981241819639493	0.326473505913018	0.999844636672322	0.0693705859942864
0610012G03Rik	834.685136961775	-0.0637095413871451	0.0852609666741535	0.747229874024621	0.454924814169144	0.999844636672322	0.0637095413871451
0610030E20Rik	972.637693562565	-0.0649365710214198	0.0793205772167333	0.818659839602389	0.412980515761345	0.999844636672322	0.0649365710214198
0610037L13Rik	1720.94064095106	-0.0182315633506345	0.0762902540208262	0.238976309420303	0.811123952916607	0.999844636672322	0.0182315633506345
0610040J01Rik	87.9657466661235	-0.0236426200346072	0.0859592782957159	0.275044422235284	0.783282109897125	0.999844636672322	0.0236426200346072
1110004E09Rik	1038.6093331506	-0.0323361006904204	0.0793250592769621	0.407640422650293	0.683537682872493	0.999844636672322	0.0323361006904204
1110004F10Rik	3843.20120500255	-0.043626655553411	0.0702317971870781	0.621180965043534	0.53448056219359	0.999844636672322	0.043626655553411
1110008F13Rik	1170.28496363505	-0.0067833767763025	0.0812212858118403	0.0835172296092071	0.933440278005391	0.999844636672322	0.0067833767763025
1110008L16Rik	268.38983250268	-0.0350392477862874	0.0832247507315365	0.42101955822392	0.673740800149083	0.999844636672322	0.0350392477862874
1110008P14Rik	932.377693563132	-0.0299098834506928	0.0796633663227022	0.375453421457651	0.707323281175861	0.999844636672322	0.0299098834506928
1110012L19Rik	310.536844045762	-0.0663052568844502	0.0839463622678393	0.789852652255456	0.429613825532222	0.999844636672322	0.0663052568844502
1110017D15Rik	307.484039341646	0.0580801159471509	0.0873114042464407	-0.665206526551984	0.505918406648367	0.999844636672322	0.0580801159471509
1110032A03Rik	1392.14127596206	-0.0951534963377695	0.0701559933320994	1.35631315042948	0.174999553126047	0.999844636672322	0.0951534963377695
1110032F04Rik	145.285910247025	-0.083382173789244	0.0855862160646374	0.974247695753614	0.329933567898151	0.999844636672322	0.083382173789244
1110034G24Rik	325.983643188107	-0.0839287308862498	0.0849559136125392	0.987909226296194	0.323197106473244	0.999844636672322	0.0839287308862498
1110037F02Rik	1669.30302704128	-0.012955589131901	0.0818988149139724	0.158190190487001	0.874306933286785	0.999844636672322	0.012955589131901
1110038F14Rik	453.661437758416	-0.0893562163434316	0.0860778709739907	1.03808580919051	0.299230107501089	0.999844636672322	0.0893562163434316
1110051M20Rik	3281.60236146902	0.0128302935254281	0.0553373753128614	-0.231855837991762	0.816649986053997	0.999844636672322	0.0128302935254281
