baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	absLog
0610007P14Rik	1152.14963135096	0.103747954071552	0.0845193864333405	-1.22750481812095	0.219632912022201	0.999638684933826	0.103747954071552
0610009B22Rik	923.246121665612	0.0421492459342544	0.0877326462565191	-0.480428298161843	0.63092287648769	0.999638684933826	0.0421492459342544
0610009L18Rik	138.308769250285	-0.0976626976865756	0.0944876701303865	1.03360255948536	0.301322002358206	0.999638684933826	0.0976626976865756
0610009O20Rik	1125.70431448887	-0.0970824895490834	0.0734705229385761	1.32138013540815	0.186374646163807	0.999638684933826	0.0970824895490834
0610010F05Rik	2225.82382952272	0.0473906997285768	0.0609928344701846	-0.776987987855245	0.437165857365242	0.999638684933826	0.0473906997285768
0610010K14Rik	41.1499888742841	-0.0810993136686639	0.0791754356296678	1.02429892584355	0.305694105151643	0.999638684933826	0.0810993136686639
0610012G03Rik	853.519750647264	0.0198295065629762	0.0906719192611843	-0.218695123303351	0.826887548078638	0.999638684933826	0.0198295065629762
0610030E20Rik	991.099027812292	0.021553493037761	0.0822694054234939	-0.261986736464318	0.793331667917797	0.999638684933826	0.021553493037761
0610037L13Rik	1777.41632297856	-0.0555191574643334	0.0824461205513352	0.673399270857921	0.500693312376255	0.999638684933826	0.0555191574643334
0610040J01Rik	82.9296363146529	0.0962017122912714	0.0932564006142579	-1.03158294398683	0.302267533843936	0.999638684933826	0.0962017122912714
1110004E09Rik	1085.18216439424	-0.062202949732408	0.0854444499382901	0.727992862934133	0.466617955235052	0.999638684933826	0.062202949732408
1110004F10Rik	3819.6397673636	0.0543316199387616	0.0720090000618533	-0.754511517894882	0.450542131906283	0.999638684933826	0.0543316199387616
1110008F13Rik	1151.40186120582	0.0329576661404554	0.0900779541312458	-0.365879381457036	0.714455082418803	0.999638684933826	0.0329576661404554
1110008L16Rik	277.851492708037	-0.0365789640990261	0.08720654004719	0.419452074113159	0.674885773484926	0.999638684933826	0.0365789640990261
1110008P14Rik	915.212296721907	0.0571586192621038	0.0913990161107988	-0.625374557564307	0.531725256528996	0.999638684933826	0.0571586192621038
1110012L19Rik	327.490159034807	-0.0339325725591139	0.0930083039210543	0.364833795785761	0.715235475972019	0.999638684933826	0.0339325725591139
1110017D15Rik	313.022543090294	-0.0773103566129482	0.0935810924711467	0.826132230041927	0.408729086477244	0.999638684933826	0.0773103566129482
1110032A03Rik	1469.06806574244	-0.0347557501211446	0.0789503173882414	0.440223057625365	0.659775561356284	0.999638684933826	0.0347557501211446
1110032F04Rik	139.602691194802	0.105230168843372	0.0880386610439391	-1.19527225420719	0.23198067648505	0.999638684933826	0.105230168843372
1110034G24Rik	334.071399391359	0.0339324638629525	0.0919747001469608	-0.368932584816627	0.712177974788487	0.999638684933826	0.0339324638629525
1110037F02Rik	1722.06171190186	-0.0482484890401913	0.0910790217475093	0.529743162744397	0.596290017280728	0.999638684933826	0.0482484890401913
1110038F14Rik	490.130490330866	-0.053031424302472	0.0902989675652043	0.587287160998583	0.557010862462993	0.999638684933826	0.053031424302472
1110051M20Rik	3333.20311244989	-0.0580461962355595	0.0591742973120887	0.980935961595294	0.326624322135817	0.999638684933826	0.0580461962355595
1110059E24Rik	1047.61093398898	0.0197824528009794	0.084452446296943	-0.234243691786291	0.814795797255894	0.999638684933826	0.0197824528009794
