baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	absLog
0610007P14Rik	1108.90178836122	-0.0671277449782031	0.0751856428966476	0.89282664072553	0.371950017321359	0.999734703812778	0.0671277449782031
0610009B22Rik	880.597834895722	-0.150888668544241	0.0841561167249391	1.79296139622762	0.0729790969724648	0.727278216385775	0.150888668544241
0610009L18Rik	133.204551074788	-0.244641049417701	0.0980710763222754	2.49452803611307	0.0126124762405961	0.252194742182478	0.244641049417701
0610009O20Rik	1193.24803254645	-0.0563551664663794	0.0710299229561896	0.79340036031207	0.427544600894461	0.999734703812778	0.0563551664663794
0610010F05Rik	2289.61755760606	0.0166353429041839	0.062548998593034	-0.265956982179992	0.790272339406965	0.999734703812778	0.0166353429041839
0610010K14Rik	48.2268047966611	0.00198131793805724	0.0953005568902975	-0.0207902031499982	0.983413012805222	0.999734703812778	0.00198131793805724
0610012G03Rik	835.244386946197	-0.107460824195028	0.0900581010049599	1.19323884243473	0.232775846463216	0.999734703812778	0.107460824195028
0610030E20Rik	1000.74263658166	-0.0515217118024029	0.0702886596453021	0.733001768171381	0.463557350961451	0.999734703812778	0.0515217118024029
0610037L13Rik	1859.65401126144	-0.0503142544407988	0.0744527814734986	0.675787437957681	0.499175611529641	0.999734703812778	0.0503142544407988
0610040J01Rik	84.2928660781801	0.0748762763788656	0.0982816178301749	-0.761854332803593	0.446146948373431	0.999734703812778	0.0748762763788656
1110004E09Rik	1123.65905330736	-0.0870695003339658	0.0733279192152856	1.18739903253406	0.235070261438502	0.999734703812778	0.0870695003339658
1110004F10Rik	3786.75049733442	-0.0676484953536804	0.0627571196223513	1.07794136762113	0.28105992277432	0.999734703812778	0.0676484953536804
1110008F13Rik	1181.83488227139	0.00694280722958561	0.0860423776185877	-0.0806905553024346	0.935688048100856	0.999734703812778	0.00694280722958561
1110008L16Rik	287.187568615453	-0.0508375500162105	0.0922237063510033	0.551241671232805	0.581468017493789	0.999734703812778	0.0508375500162105
1110008P14Rik	917.774784568443	-0.0115024146927992	0.0911914661180349	0.12613477096542	0.899625244016497	0.999734703812778	0.0115024146927992
1110012L19Rik	341.108044907405	-0.0366264875239448	0.0942258530237949	0.388709535107053	0.697491028021845	0.999734703812778	0.0366264875239448
1110017D15Rik	348.323446452067	0.00980450464105431	0.0970908344073036	-0.100982803381045	0.919564111300481	0.999734703812778	0.00980450464105431
1110032A03Rik	1458.36195014716	-0.151821061446336	0.078404030611042	1.9363935790433	0.0528195153022842	0.627891988155904	0.151821061446336
1110032F04Rik	131.605841896042	0.0283353603984624	0.0979063524043434	-0.289412889997579	0.772265432076724	0.999734703812778	0.0283353603984624
1110034G24Rik	337.251236363435	-0.0230255760143439	0.0927511979245569	0.248250982516396	0.80394022229116	0.999734703812778	0.0230255760143439
1110037F02Rik	1779.50683952682	-0.0718210608179259	0.0880239856245427	0.815926026393207	0.414542445532131	0.999734703812778	0.0718210608179259
1110038F14Rik	489.602309483509	-0.145377722900032	0.0906791819365516	1.60320946655378	0.108888416168793	0.851286184892139	0.145377722900032
