Gene	Class
1110051M20Rik	3_UTR
1110059E24Rik	3_UTR
1500015A07Rik	3_UTR
1700025G04Rik	3_UTR
6720468P15Rik	3_UTR
A230028O05Rik	3_UTR
Accs	3_UTR
Adcy10	3_UTR
Adcy5	3_UTR
Ak7	3_UTR
Aqp4	3_UTR
Arfgap3	3_UTR
Arhgap26	3_UTR
Arhgef3	3_UTR
Armc2	3_UTR
Atp1a2	3_UTR
Axin2	3_UTR
B430306N03Rik	3_UTR
Baalc	3_UTR
Bbx	3_UTR
Brca1	3_UTR
Cacna1d	3_UTR
Calhm5	3_UTR
Ccdc121	3_UTR
Ccdc190	3_UTR
Ccdc59	3_UTR
Cdca7	3_UTR
Cdk1	3_UTR
Cdkal1	3_UTR
Celf2	3_UTR
Cerk	3_UTR
Chrna1	3_UTR
Cmpk2	3_UTR
Cntrl	3_UTR
Col5a1	3_UTR
Cpne5	3_UTR
Cpne8	3_UTR
Csrp2	3_UTR
Cyb561	3_UTR
Cyp46a1	3_UTR
D1Ertd622e	3_UTR
D930020B18Rik	3_UTR
Dcstamp	3_UTR
Ddx17	3_UTR
Dgkb	3_UTR
Diaph1	3_UTR
Dio2	3_UTR
Dnajb12	3_UTR
Dock10	3_UTR
Dsc3	3_UTR
Dtl	3_UTR
Efcab11	3_UTR
Efna5	3_UTR
Egflam	3_UTR
Eif1ad	3_UTR
Eipr1	3_UTR
Entpd1	3_UTR
Epb41l3	3_UTR
Erc2	3_UTR
Esrrb	3_UTR
Ets2	3_UTR
Flrt1	3_UTR
Foxred2	3_UTR
Fzd6	3_UTR
Gbe1	3_UTR
Gm13293	3_UTR
Gm13544	3_UTR
Gm36173	3_UTR
Gm41289	3_UTR
Gna14	3_UTR
Gpr39	3_UTR
Gtf2a1	3_UTR
Hist1h4d	3_UTR
Ildr2	3_UTR
Insyn2b	3_UTR
Ints7	3_UTR
Itga6	3_UTR
Itgae	3_UTR
Kcnc2	3_UTR
Kcng3	3_UTR
Kcns2	3_UTR
Kitl	3_UTR
Klf12	3_UTR
Krt31	3_UTR
Larp4b	3_UTR
Lmbrd2	3_UTR
LOC100043315	3_UTR
Man1a	3_UTR
Mdga1	3_UTR
Meis1	3_UTR
Mfsd11	3_UTR
Mfsd4b1	3_UTR
Mir331	3_UTR
Mir6944	3_UTR
Mir8105	3_UTR
Mmrn2	3_UTR
Mrpl14	3_UTR
Mrps6	3_UTR
Msh2	3_UTR
Mtfr2	3_UTR
Mtmr6	3_UTR
Mx1	3_UTR
Mybph	3_UTR
Myh10	3_UTR
Myl6	3_UTR
Mylk	3_UTR
Neat1	3_UTR
Neurl1b	3_UTR
Neurod2	3_UTR
Nmur2	3_UTR
Nostrin	3_UTR
Npas4	3_UTR
Nyap2	3_UTR
Olfr790	3_UTR
Osbpl1a	3_UTR
P3h2	3_UTR
Parvg	3_UTR
Pcdh1	3_UTR
Peg13	3_UTR
Plekhm3	3_UTR
